Movie,StoryLine
"Reboot
TV Series
2022–
TV-14",Follows an early 2000s family sitcom that Hulu has rebooted and their dysfunctional cast that must deal with their unresolved issues in today's fast-changing world.
"See How They Run
2022
PG-13
1h 38m","In the West End of 1950s London, plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered. When world-weary Inspector Stoppard (Sam Rockwell) and eager rookie Constable Stalker (Saoirse Ronan) take on the case, the two find themselves thrown into a puzzling whodunit within the glamorously sordid theater underground, investigating the mysterious homicide at their own peril."
"The Big Bang Theory
TV Series
2007–2019
TV-PG
22m","Leonard Hofstadter and Sheldon Cooper are both brilliant physicists working at Cal Tech in Pasadena, California. They are colleagues, best friends, and roommates, although in all capacities their relationship is always tested primarily by Sheldon's regimented, deeply eccentric, and non-conventional ways. They are also friends with their Cal Tech colleagues mechanical engineer Howard Wolowitz and astrophysicist Rajesh Koothrappali. The foursome spend their time working on their individual work projects, playing video games, watching science-fiction movies, or reading comic books. As they are self-professed nerds, all have little or no luck with women. When Penny, a pretty woman and an aspiring actress from Omaha, moves into the apartment across the hall from Leonard and Sheldon's, Leonard has another aspiration in life, namely to get Penny to be his girlfriend. —Huggo"
"Bodies Bodies Bodies
2022
R
1h 34m","Nervous about meeting the smug, wealthy friends of her rehabilitated girlfriend Sophie, timid newcomer Bee arrives late to a booze-addled, drug-fuelled hurricane party at bored David's Georgian grey-stone manor house. As the storm rages outside, the party gets started, and the group of spoiled zoomers gathers around the host in the family mansion's luxurious drawing room to play a compelling, find-the-killer murder mystery game with the lights off. But it's all fun and games until someone loses an eye. And when one of the players ends up dead, mass hysteria takes over, and the petty, narcissistic backstabbers start to turn on each other. Now, cut off from the outside world, their lives depend on figuring out who's behind the frantic outburst of senseless, bloody violence. However, as bitter rivalries flare up and old wounds reopen, how can David's self-absorbed guests survive the night? —Nick Riganas"
"Friends
TV Series
1994–2004
TV-14
22m","Ross Geller, Rachel Green, Monica Geller, Joey Tribbiani, Chandler Bing, and Phoebe Buffay are six twenty-somethings living in New York City. Over the course of 10 years and seasons, these friends go through life lessons, family, love, drama, friendship, and comedy."
"Only Murders in the Building
TV Series
2021–
TV-MA
30m","Follows three strangers (Steve Martin, Martin Short, and Selena Gomez) who share an obsession with true crime and suddenly find themselves wrapped up in one. When a grisly death occurs inside their exclusive Upper West Side apartment building, the trio suspects murder and employs their precise knowledge of true crime to investigate the truth. As they record a podcast of their own to document the case, the three unravel the complex secrets of the building which stretch back years. Perhaps even more explosive are the lies they tell one another. Soon, the endangered trio comes to realize a killer might be living amongst them as they race to decipher the mounting clues before it's too late."
"Pinocchio
2022
PG
1h 45m","Hopeful of changing his life with a miracle, sad-eyed Italian woodcarver Geppetto puts the finishing touches on his latest creation. And having put his heart into making the wooden Pinocchio marionette, the lonely artisan takes a step back and makes a wish on a bright star. But the universe always listens to a longing heart. As a result, the mysterious magic of the benevolent Blue Fairy takes over, granting Geppetto's wish in the dead of night. As the effervescent essence of life reanimates the newly built puppet, innocent Pinocchio has everything he needs to be a boy. Now he is the living proof that no request is too extreme. However, can smiling Pinocchio prove himself brave, truthful, and unselfish? —Nick Riganas"
"Young Sheldon
TV Series
2017–
TV-PG
30m","It's 1989, and 9-year-old Sheldon Cooper has skipped four grades to start high school along with his less-intellectual older brother. As he struggles to be understood by his family, classmates, and neighbors, his mother arms him with the best tool she has: reminding bullies that his dad is the football coach and his brother is on the team. His twin sister doesn't share his exceptional mind, but she is brilliant at reading people and has a much clearer vision of what life has in store for the young genius. Jim Parsons, who plays the adult version of Sheldon on The Big Bang Theory (2007), narrates."
"Gilmore Girls
TV Series
2000–2007
TV-PG
44m","Thirty-two year old single mom, Lorelai, lives with her teenage daughter Rory in the small town of Stars Hollow, Connecticut, with crazy neighbors and many ups and downs."
"Modern Family
TV Series
2009–2020
TV-PG
22m","Told from the perspective of an unseen documentary filmmaker, the series offers an honest, often-hilarious perspective of family life. Parents Phil and Claire yearn for an honest, open relationship with their three kids, but a daughter who is trying to grow up too fast, another who is too smart for her own good, and a rambunctious young son make it challenging. Claire's dad Jay and his Latina wife Gloria are raising two sons together, but people sometimes believe Jay to be Gloria's father. Jay's gay son Mitchell and his partner Cameron have adopted a little Asian girl, completing one big -- straight, gay, multicultural, traditional -- happy family. —Jwelch5742"
"Abbott Elementary
TV Series
2021–
TV-PG
22m","Follows a group of teachers brought together in one of the worst public schools in the country, simply because they love teaching."
"Lyle, Lyle, Crocodile
2022
PG
1h 46m","Follows the title reptile who lives in a house on East 88th Street in New York City. Lyle enjoys helping the Primm family with everyday chores and playing with the neighborhood kids but one neighbor insists that Lyle belongs in a zoo. Mr. Grumps and his cat, Loretta, do not like crocodiles, and Lyle tries to prove that he is not as bad as others might first think."
"Shameless
TV Series
2011–2021
TV-MA
46m","Watch the Irish American family the Gallaghers dealing with their alcoholic father Frank. Fiona, the eldest daughter, takes the role of the parent to her five brothers and sisters. Lip, Ian, Debbie, Carl, and Liam deal with life on the South Side of Chicago. Fiona balances her sex life and raising her siblings. Every episode is another crazy situation that one or more of the Gallagher six get into. Watch them grow and learn how to make their way in life with what little they have. —Linda Taylor"
"It's Always Sunny in Philadelphia
TV Series
2005–
TV-MA
22m","The gang, five raging alcoholic narcissists, run a failing dive bar in South Philadelphia. The gang make up some scheme for sex, money, fame, or any other terrible reason any of them can fabricate. It always goes south however, as the gang's plans blow up in their faces--sometimes even literally."
"Ghosts
TV Series
2021–
TV-PG","Samantha, a cheerful freelance journalist, and Jay, an up-and-coming chef from the city, throw both caution and money to the wind when they decide to convert a huge run-down country estate they inherited into a bed and breakfast -- only to find it's inhabited by the many spirits of deceased residents. The departed souls are a close-knit, eclectic group that includes a saucy Prohibition-era lounge singer, a pompous 1700's Militiaman, a '60s hippie fond of hallucinogens and an overly upbeat '80s scout troop leader. If the spirits were anxious about the commotion a renovation and B&B will create in their home, it's nothing compared to when they realize Samantha is the first live person who can see and hear them."
"My Best Friend's Exorcism
2022
R
1h 37m","The year is 1988. High school sophomores Abby and Gretchen have been best friends since fourth grade. But after an evening of skinny-dipping goes disastrously wrong, Gretchen begins to act...different. She's moody. She's irritable. And bizarre incidents keep happening whenever she's nearby. Abby's investigation leads her to some startling discoveries-and by the time their story reaches its terrifying conclusion, the fate of Abby and Gretchen will be determined by a single question: Is their friendship powerful enough to beat the devil?"
"Ramy
TV Series
2019–
TV-MA
30m","Ramy, the son of Egyptian immigrants, is on a spiritually-conflicting journey in his New Jersey neighborhood, pulled between his Muslim community that thinks life is a constant test, his millennial friends who think life is full of endless possibilities, and a God who's always watching."
"Suits
TV Series
2011–2019
TV-14
44m","While running from a drug deal gone bad, brilliant young college-dropout Mike Ross slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after recognizing his raw talent and photographic memory. Mike and Harvey are a winning team. Although Mike is a genius, he still has a lot to learn about the law; and while Harvey might seem like an emotionless, cold-blooded shark, Mike's sympathy and concern for their cases and clients will help remind Harvey why he went into law in the first place. Mike's other allies in the office include the firm's best paralegal Rachel and Harvey's no-nonsense assistant Donna. Proving to be an irrepressible duo and invaluable to the practice, Mike and Harvey must keep their secret from everyone including managing partner Jessica and Harvey's arch nemesis Louis, who seems intent on making Mike's life as difficult as possible. —USA Network"
"Family Guy
TV Series
1999–
TV-MA
22m","Sick, twisted and politically incorrect, the animated series features the adventures of the Griffin family. Endearingly ignorant Peter and his stay-at-home wife Lois reside in Quahog, R.I., and have three kids. Meg, the eldest child, is a social outcast, and teenage Chris is awkward and clueless when it comes to the opposite sex. The youngest, Stewie, is a genius baby bent on killing his mother and destroying the world. The talking dog, Brian, keeps Stewie in check while sipping martinis and sorting through his own life issues. —Jwelch5742"
"Atlanta
TV Series
2016–2022
TV-MA
30m","Atlanta is one of the top cities for young rappers looking to make a name for themselves in the business. Among those up-and-comers is Alfred Miles, a hot new artist who is trying to understand the line between real life and street life. He is managed by his cousin Earn, who gets caught up in the local rap scene and his cousin's career after returning home to the ATL. Earn does whatever he can to try to get Alfred's career to the next level. Darius, the rapper's right-hand man and visionary, is also in Alfred's entourage. When Earn isn't busy managing his cousin's career, he spends much of his time with his best friend Vanessa, the mother of his daughter. —Jwelch5742"
"Community
TV Series
2009–2015
TV-14
22m","A former lawyer attends a community college when it is discovered he faked his Bachelor's degree. In an attempt to get with a student in his Spanish class, he forms a Spanish study group. To his surprise, more people attend the study group and the group of misfits form an unlikely community."
"Derry Girls
TV Series
2018–2022
TV-MA
30m",The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.
"Babylon
2022","A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
"Bones
TV Series
2005–2017
TV-14
40m","Brilliant, but socially inept, forensic anthropologist Dr. Temperence Brennan works at the Jeffersonian Institute in Washington DC. After consulting for him on a FBI case, she is approached by cocky yet charming Former Army Ranger turned Special Agent, Seeley Booth to help the Bureau solve crimes by identifying human remains that are too far gone for standard FBI forensic investigations. Brennan's empirical, literal view of the world causes friction with Booths emotive, instinctive attitude creating a volatile relationship. However as their case load increases the symbiotic partnership produces results and with the support of Brennan's Squint Squad, murderers, past and present should be on the look out. —h_berry"
"Andor
TV Series
2022–
TV-14
40m","The series will explore a new perspective from the Star Wars galaxy, focusing on Cassian Andor's journey to discover the difference he can make. The series brings forward the tale of the burgeoning rebellion against the Empire and how people and planets became involved. It's an era filled with danger, deception and intrigue where Cassian will embark on the path that is destined to turn him into a rebel hero. —Disney+ Media"
"She-Hulk: Attorney at Law
TV Series
2022–
TV-14
35m","Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered Hulk."
"The Super Mario Bros. Movie
2023","A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess. Feature film adaptation of the popular video game."
"Black Panther: Wakanda Forever
2022
2h 41m","Queen Ramonda, Shuri, M'Baku, Okoye and the Dora Milaje fight to protect the kingdom of Wakanda from intervening world powers in the wake of King T'Challa's death. As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for their nation."
"The Munsters
2022
PG
1h 49m","Reboot of ""The Munsters"", that followed a family of monsters who moves from Transylvania to an American suburb."
"American Horror Story
TV Series
2011–
TV-MA
1h","Physical and psychological horrors affect a decomposing family, workers and residents of an insane asylum, a coven of witches, a cast of circus freaks, the employees and guests at a struggling hotel, a family who moved into a mysterious farmhouse, the members of a small suburb in Michigan, the surviving members of the Apocalypse and the counselors of a creepy summer camp in this haunting anthology series, focusing on the themes of infidelity, sanity, oppression, discrimination, addiction and exploitation."
"Rick and Morty
TV Series
2013–
TV-MA
23m","An animated series on adult-swim about the infinite adventures of Rick, a genius alcoholic and careless scientist, with his grandson Morty, a 14 year-old anxious boy who is not so smart. Together, they explore the infinite universes; causing mayhem and running into trouble. —Ruben Galaviz"
"The Handmaid's Tale
TV Series
2017–
TV-MA
1h","A religion-based autocracy has taken over most of the United States, renaming the country Gilead. In this country women are second-class citizens. Anyone trying to escape is punished. One such person is June, who is captured while trying to escape with her husband and child and is sentenced to be a handmaid, bearing children for childless government officials. As a handmaid, June is renamed Offred. This is her story. —grantss"
"Stranger Things
TV Series
2016–
TV-14
51m","In a small town where everyone knows everyone, a peculiar incident starts a chain of events that leads to a child's disappearance, which begins to tear at the fabric of an otherwise-peaceful community. Dark government agencies and seemingly malevolent supernatural forces converge on the town, while a few of the locals begin to understand that more is going on than meets the eye. —Charles J."
"Vesper
2022
1h 54m","After the collapse of Earth's ecosystem, Vesper, a 13-year-old girl struggling to survive with her paralyzed father, meets a woman with a secret who will force her to use her wits, strengths and bio-hacking abilities to fight for the possibility of having a future."
"Thor: Love and Thunder
2022
PG-13
1h 58m","Thor's retirement is interrupted by a galactic killer known as Gorr the God Butcher, who seeks the extinction of the gods. To combat the threat, Thor enlists the help of King Valkyrie, Korg and ex-girlfriend Jane Foster, who - to Thor's surprise - inexplicably wields his magical hammer, Mjolnir, as the Mighty Thor. Together, they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher's vengeance and stop him before it's too late."
"Cyberpunk: Edgerunners
TV Series
2022–
TV-MA
24m","A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk."
"Black Adam
2022
PG-13
2h 4m","Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods-and imprisoned just as quickly-Black Adam (Johnson) is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world."
"Avatar: The Way of Water
2022","Jake Sully lives with his newfound family formed on the planet of Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their planet."
"The Boys
TV Series
2019–
TV-MA
1h","The Boys is set in a universe in which superpowered people are recognized as heroes by the general public and owned by a powerful corporation, Vought International, which ensures that they are aggressively marketed and monetized. Outside of their heroic personas, most are arrogant and corrupt. The series primarily focuses on two groups: the titular Boys, vigilantes looking to keep the corrupted heroes under control, and the Seven, Vought International's premier superhero team. The Boys are led by Billy Butcher, who despises all superpowered people, and the Seven are led by the egotistical and unstable Homelander. As a conflict ensues between the two groups, the series also follows the new members of each team: Hugh ""Hughie"" Campbell of the Boys, who joins the vigilantes after his girlfriend is killed in a high-speed collision by the Seven's A-Train, and Annie January/Starlight of the Seven, a young and hopeful heroine forced to face the truth about the heroes she admires."
"The Sandman
TV Series
2022–
TV-MA
45m","A wizard attempting to capture Death to bargain for eternal life traps her younger brother Dream instead. Fearful for his safety, the wizard kept him imprisoned in a glass bottle for decades. After his escape, Dream, also known as Morpheus, goes on a quest for his lost objects of power. —Neil Gaiman's Official Site"
"DC League of Super-Pets
2022
PG
1h 45m","When the Justice League are captured by Lex Luthor, Superman's dog, Krypto, forms a team of shelter-pets who were given super-powers: A hound named Ace, who becomes super-strong, a pig named PB, who can grow to giant-size, a turtle named Merton, who becomes super-fast, and a squirrel named Chip, who gains electric-powers."
"Avatar
2009
PG-13
2h 42m","When his brother is killed in a robbery, paraplegic Marine Jake Sully decides to take his place in a mission on the distant world of Pandora. There he learns of greedy corporate figurehead Parker Selfridge's intentions of driving off the native humanoid ""Na'vi"" in order to mine for the precious material scattered throughout their rich woodland. In exchange for the spinal surgery that will fix his legs, Jake gathers knowledge, of the Indigenous Race and their Culture, for the cooperating military unit spearheaded by gung-ho Colonel Quaritch, while simultaneously attempting to infiltrate the Na'vi people with the use of an ""avatar"" identity. While Jake begins to bond with the native tribe and quickly falls in love with the beautiful alien Neytiri, the restless Colonel moves forward with his ruthless extermination tactics, forcing the soldier to take a stand - and fight back in an epic battle for the fate of Pandora. —The Massie Twins"
"Everything Everywhere All at Once
2022
R
2h 19m","With her laundromat teetering on the brink of failure and her marriage to wimpy husband Waymond on the rocks, overworked Evelyn Wang struggles to cope with everything, including a tattered relationship with her judgmental father Gong Gong and Joy, her daughter. And, as if facing a gloomy midlife crisis weren't enough, Evelyn must brace herself for an unpleasant meeting with an impersonal bureaucrat: Deirdre, the shabbily dressed IRS auditor. However, as the stern agent loses patience, an inexplicable multiverse rift becomes an eye-opening exploration of parallel realities. Will Evelyn jump down the rabbit hole? How many stars are there in the universe? Can weary Evelyn fathom the irrepressible force of possibilities, tap into newfound powers, and prevent an evil entity from destroying the thin, countless layers of the unseen world? —Nick Riganas"
"Nope
2022
R
2h 10m","After random objects falling from the sky result in the death of their father, ranch-owning siblings OJ and Emerald Haywood attempt to capture video evidence of an unidentified flying object with the help of tech salesman Angel Torres and documentarian Antlers Holst. —Universal Pictures"
"Quantum Leap
TV Series
2022–
TV-PG
42m","The original show ran from 1989 to 1993 and told the story of Sam Beckett, a scientist who finds himself trapped in time after a botched experiment, forcing him to leap from body to body. The new Quantum Leap sequel takes place 30 years after Dr. Sam Beckett disappears into the Quantum Leap accelerator and centers around a new character, Dr. Ben Song, played by Raymond Lee. Dr. Song has ultimately been tasked with leading a new team to uncover the mysteries surrounding the original experiment and missing scientist Dr. Sam Beckett."
"See
TV Series
2019–2022
TV-MA
1h","Far in a dystopian future, the human race has lost the sense of sight, and society has had to find new ways to interact, build, hunt, and to survive. All of that is challenged when a set of twins are born with sight."
"Significant Other
2022
R
1h 24m",Follows a young couple who take a remote backpacking trip through the Pacific Northwest and face sinister events leading them to realize that everything about the place is not as it seems.
"Severance
TV Series
2022–
TV-MA
55m","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs."
"The Last of Us
TV Series
2023–","20 years after modern civilization has been destroyed, Joel, a hardened survivor, is hired to smuggle Ellie, a 14-year-old girl, out of an oppressive quarantine zone. What starts as a small job soon becomes a brutal heartbreaking journey as they both must traverse the U.S. and depend on each other for survival."
"Doctor Who
TV Series
2005–
TV-PG
45m","The Doctor, a Time Lord from the race whose home planet is Gallifrey, travels through time and space in their ship the TARDIS (an acronym for Time and Relative Dimension In Space) with numerous companions. From time to time, the Doctor regenerates into a new form. —Chris Wright"
"Prey
2022
R
1h 39m","Naru, a skilled warrior of the Comanche Nation, fights to protect her tribe against one of the first highly-evolved Predators to land on Earth."
"Westworld
TV Series
2016–
TV-MA
1h 2m","This science-fiction Western series from Jonathan Nolan and Lisa Joy was inspired by Michael Crichton's Westworld (1973) and is set at a Wild-West theme park created by Dr. Robert Ford (Sir Anthony Hopkins) with human-like androids, where guests are encouraged to indulge their fantasies and desires. —ahmetkozan"
"Black Mirror
TV Series
2011–2019
TV-MA
1h","Set in a world only minutes from our own, ""Black Mirror"", a UK and USA non-hosted anthology series; unveils how modern technologies can backfire and be used against their makers, every episode set in a slightly different reality with different characters combating different types of technologies. The series ran from 2011 until 2019. —Updated"
"La Brea
TV Series
2021–
TV-14","A massive sinkhole mysteriously opens up in Los Angeles, separating part of a family in an unexplainable primeval world, alongside a desperate group of strangers."
"The Mandalorian
TV Series
2019–
TV-14
40m","After the stories of Jango and Boba Fett, another warrior emerges in the Star Wars universe. The Mandalorian is set after the fall of the Empire and before the emergence of the First Order. We follow the travails of a lone gunfighter in the outer reaches of the galaxy far from the authority of the New Republic."
"Jurassic World Dominion
2022
PG-13
2h 27m", 
"Resident Alien
TV Series
2021–
TV-14
44m","An alien, who has crash landed on earth on a mission to destroy humanity, assumes the identity of Dr. Harry Vanderspeigel, so he can remain undetected by the residents of Patience, CO while he searches the snow-covered Colorado Mountains for pieces of his ship. He learns ""to be human"" by watching Law and Order and mimicking the late, great Jerry Orbach. One day the sheriff of Patience, Mike ""Big Black"" Thompson and his deputy, Liv Baker, show up at his isolated cabin. There has been a murder in town and they need a doctor. The murder victim is the town doctor. Soon, he finds himself as the new town doctor and in constant contact with the people of the town. Something, until now, he has vehemently avoided. Now, as he is spending more time with humans, he is learning more about them and what makes them human. Which gives him pause, but is still determined to complete his mission to destroy the people of earth. He also discovers there is one person in town who can see him in his true form; which, of course, is less than ideal."
"Daredevil
TV Series
2015–2018
TV-MA
54m", 
"Deadpool 3
2024", 
"The Orville
TV Series
2017–
TV-14
44m", 
"The X-Files
Original title: The X Files
TV Series
1993–2018
TV-14
45m","Two FBI agents, Fox Mulder and Dana Scully work in an unassigned detail of the bureau called the X-Files investigating cases dealing with unexplained paranormal phenomena. Mulder, a true believer, and Scully, a skeptic, perceive their cases from stand points of science and the paranormal. —ZachMichalik"
"Super Mario Bros.
1993
PG
1h 44m","Can you make a movie out of a video game? That's the question that is answered by this film. Mario Mario and Luigi Mario, two hard working plumbers find themselves in an alternate universe where evolved dinosaurs live in medium hi-tech squalor. They find themselves the only hope to save the Earth from invasion. —John Vogel <jlvogel@comcast.net>"
"Rogue One: A Star Wars Story
Original title: Rogue One
2016
PG-13
2h 13m","All looks lost for the Rebellion against the Empire as they learn of the existence of a new super weapon, the Death Star. Once a possible weakness in its construction is uncovered, the Rebel Alliance must set out on a desperate mission to steal the plans for the Death Star. The future of the entire galaxy now rests upon its success. —Ryan Cullmann"
